"","H_DATE","H_URLTeam","A_URLTeam","H_Tpct","H_TLast10","H_HRpct","H_HRLast10","H_ARpct","H_ARLast10","A_Tpct","A_TLast10","A_HRpct","A_HRLast10","A_ARpct","A_ARLast10","H_Outcome"
"205","Mon, Feb 7","OKC","GS",0.326923076923077,0.3,0.36,0.4,0.307692307692308,0.3,0.754716981132076,0.9,0.857142857142857,0.8,0.625,0.5,"0"
"206","Wed, Feb 9","OKC","TOR",0.320754716981132,0.3,0.346153846153846,0.3,0.307692307692308,0.3,0.557692307692308,0.8,0.555555555555556,0.8,0.541666666666667,0.6,"0"
"207","Wed, Feb 16","OKC","SA",0.315789473684211,0.4,0.333333333333333,0.2,0.275862068965517,0.3,0.379310344827586,0.4,0.357142857142857,0.3,0.379310344827586,0.4,"0"
"208","Thu, Feb 24","OKC","PHX",0.310344827586207,0.4,0.321428571428571,0.1,0.275862068965517,0.3,0.827586206896552,0.9,0.833333333333333,0.9,0.814814814814815,0.9,"0"
"209","Mon, Feb 28","OKC","SAC",0.316666666666667,0.3,0.310344827586207,0.1,0.3,0.3,0.354838709677419,0.4,0.46875,0.5,0.241379310344828,0.1,"0"
"210","Fri, Mar 4","OKC","MIN",0.32258064516129,0.3,0.3,0.1,0.32258064516129,0.4,0.53968253968254,0.6,0.6,0.8,0.46875,0.5,"0"
"211","Sun, Mar 6","OKC","UTAH",0.28169014084507,0.3,0.290322580645161,0.1,0.32258064516129,0.4,0.629032258064516,0.8,0.67741935483871,0.7,0.566666666666667,0.3,"0"
"212","Tue, Mar 8","OKC","MIL",0.3125,0.3,0.28125,0.1,0.32258064516129,0.4,0.615384615384615,0.6,0.647058823529412,0.6,0.566666666666667,0.5,"0"
"213","Sun, Mar 13","OKC","MEM",0.303030303030303,0.3,0.272727272727273,0.1,0.34375,0.5,0.676470588235294,0.6,0.696969696969697,0.8,0.647058823529412,0.6,"0"
"214","Mon, Mar 14","OKC","CHA",0.298507462686567,0.2,0.264705882352941,0.1,0.34375,0.5,0.485294117647059,0.4,0.5,0.2,0.485714285714286,0.6,"0"
"215","Sat, Nov 6","POR","LAL",0.444444444444444,0.444444444444444,0.8,0.8,0,0,0.555555555555556,0.555555555555556,0.666666666666667,0.666666666666667,0.5,0.5,"1"
"216","Mon, Nov 15","POR","TOR",0.428571428571429,0.4,0.833333333333333,0.833333333333333,0.142857142857143,0.142857142857143,0.5,0.6,0.285714285714286,0.285714285714286,0.833333333333333,0.833333333333333,"1"
"217","Wed, Nov 17","POR","CHI",0.466666666666667,0.4,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.714285714285714,0.6,0.666666666666667,0.666666666666667,0.714285714285714,0.714285714285714,"1"
"218","Sat, Nov 20","POR","PHI",0.5,0.5,0.875,0.875,0.142857142857143,0.142857142857143,0.5625,0.5,0.571428571428571,0.571428571428571,0.625,0.625,"1"
"219","Tue, Nov 23","POR","DEN",0.529411764705882,0.6,0.888888888888889,0.888888888888889,0.142857142857143,0.142857142857143,0.529411764705882,0.5,0.777777777777778,0.777777777777778,0.285714285714286,0.285714285714286,"1"
"220","Tue, Nov 30","POR","DET",0.476190476190476,0.5,0.9,0.9,0.1,0.1,0.2,0.2,0.222222222222222,0.222222222222222,0.2,0.2,"1"
"221","Thu, Dec 2","POR","SA",0.5,0.6,0.909090909090909,1,0.1,0.1,0.315789473684211,0.3,0.333333333333333,0.333333333333333,0.222222222222222,0.222222222222222,"0"
"222","Sat, Dec 4","POR","BOS",0.478260869565217,0.5,0.833333333333333,0.9,0.1,0.1,0.521739130434783,0.6,0.555555555555556,0.555555555555556,0.461538461538462,0.4,"0"
"223","Mon, Dec 6","POR","LAC",0.458333333333333,0.5,0.769230769230769,0.8,0.1,0.1,0.5,0.3,0.6,0.6,0.375,0.375,"0"
"224","Sun, Dec 12","POR","MIN",0.423076923076923,0.3,0.714285714285714,0.7,0.0909090909090909,0.1,0.423076923076923,0.4,0.466666666666667,0.5,0.4,0.4,"0"
"225","Tue, Dec 14","POR","PHX",0.407407407407407,0.2,0.666666666666667,0.6,0.0909090909090909,0.1,0.807692307692308,0.8,0.846153846153846,1,0.75,0.8,"0"
"226","Wed, Dec 15","POR","MEM",0.392857142857143,0.1,0.625,0.5,0.0909090909090909,0.1,0.607142857142857,0.8,0.625,0.6,0.545454545454545,0.5,"0"
"227","Fri, Dec 17","POR","CHA",0.379310344827586,0.1,0.588235294117647,0.4,0.0909090909090909,0.1,0.533333333333333,0.4,0.636363636363636,0.6,0.444444444444444,0.5,"1"
"228","Mon, Dec 27","POR","DAL",0.40625,0.2,0.611111111111111,0.4,0.153846153846154,0.2,0.46875,0.4,0.533333333333333,0.4,0.4375,0.4,"0"
"229","Wed, Dec 29","POR","UTAH",0.393939393939394,0.2,0.578947368421053,0.3,0.153846153846154,0.2,0.727272727272727,0.8,0.666666666666667,0.6,0.785714285714286,0.8,"0"
"230","Mon, Jan 3","POR","ATL",0.371428571428571,0.2,0.55,0.2,0.142857142857143,0.2,0.457142857142857,0.3,0.5,0.3,0.444444444444444,0.7,"1"
"231","Wed, Jan 5","POR","MIA",0.388888888888889,0.3,0.571428571428571,0.2,0.142857142857143,0.2,0.605263157894737,0.7,0.733333333333333,0.7,0.5,0.5,"0"
"232","Fri, Jan 7","POR","CLE",0.378378378378378,0.3,0.545454545454545,0.2,0.142857142857143,0.2,0.552631578947368,0.5,0.578947368421053,0.7,0.555555555555556,0.5,"0"
"233","Sun, Jan 9","POR","SAC",0.368421052631579,0.3,0.521739130434783,0.2,0.142857142857143,0.2,0.390243902439024,0.3,0.454545454545455,0.6,0.333333333333333,0.2,"1"
"234","Mon, Jan 10","POR","BKN",0.384615384615385,0.4,0.541666666666667,0.3,0.142857142857143,0.2,0.657894736842105,0.5,0.5,0.4,0.823529411764706,0.9,"1"
"235","Tue, Jan 25","POR","MIN",0.434782608695652,0.6,0.56,0.4,0.25,0.4,0.5,0.7,0.545454545454545,0.6,0.434782608695652,0.4,"0"
"236","Wed, Jan 26","POR","DAL",0.425531914893617,0.6,0.538461538461538,0.4,0.25,0.4,0.5625,0.7,0.608695652173913,0.7,0.5,0.5,"0"
"237","Fri, Feb 4","POR","OKC",0.403846153846154,0.4,0.518518518518518,0.4,0.291666666666667,0.5,0.32,0.3,0.333333333333333,0.4,0.28,0.2,"0"
"238","Sat, Feb 5","POR","MIL",0.39622641509434,0.3,0.5,0.3,0.291666666666667,0.5,0.60377358490566,0.6,0.666666666666667,0.6,0.52,0.4,"0"
"239","Tue, Feb 8","POR","ORL",0.388888888888889,0.3,0.482758620689655,0.3,0.291666666666667,0.5,0.218181818181818,0.4,0.208333333333333,0.3,0.233333333333333,0.2,"0"
"240","Wed, Feb 9","POR","LAL",0.381818181818182,0.2,0.466666666666667,0.3,0.291666666666667,0.5,0.472727272727273,0.4,0.586206896551724,0.7,0.36,0.2,"1"
"241","Sat, Feb 12","POR","NY",0.392857142857143,0.2,0.483870967741935,0.3,0.291666666666667,0.5,0.446428571428571,0.3,0.481481481481481,0.7,0.428571428571429,0.2,"1"
"242","Thu, Feb 24","POR","GS",0.423728813559322,0.4,0.5,0.4,0.307692307692308,0.6,0.711864406779661,0.6,0.838709677419355,0.8,0.592592592592593,0.4,"0"
"243","Sun, Feb 27","POR","DEN",0.416666666666667,0.4,0.484848484848485,0.4,0.307692307692308,0.6,0.583333333333333,0.7,0.615384615384615,0.7,0.545454545454545,0.7,"0"
"244","Sat, Mar 12","POR","WSH",0.384615384615385,0.4,0.470588235294118,0.3,0.3,0.4,0.446153846153846,0.4,0.484848484848485,0.3,0.387096774193548,0.3,"1"
"245","Wed, Nov 10","BOS","TOR",0.4,0.4,0,0,0.666666666666667,0.666666666666667,0.545454545454545,0.6,0.333333333333333,0.333333333333333,1,1,"1"
"246","Fri, Nov 12","BOS","MIL",0.454545454545455,0.5,0.25,0.25,0.666666666666667,0.666666666666667,0.5,0.5,0.25,0.25,0.714285714285714,0.714285714285714,"1"
"247","Fri, Nov 19","BOS","LAL",0.466666666666667,0.5,0.4,0.4,0.555555555555556,0.555555555555556,0.5,0.5,0.636363636363636,0.7,0.25,0.25,"1"
"248","Sat, Nov 20","BOS","OKC",0.5,0.6,0.5,0.5,0.555555555555556,0.555555555555556,0.4,0.5,0.428571428571429,0.428571428571429,0.285714285714286,0.285714285714286,"1"
"249","Mon, Nov 22","BOS","HOU",0.529411764705882,0.7,0.571428571428571,0.571428571428571,0.555555555555556,0.555555555555556,0.0625,0,0.2,0.2,0,0,"1"
"250","Wed, Nov 24","BOS","BKN",0.555555555555556,0.7,0.625,0.625,0.555555555555556,0.555555555555556,0.722222222222222,0.8,0.625,0.625,0.777777777777778,0.777777777777778,"0"
"251","Wed, Dec 1","BOS","PHI",0.523809523809524,0.6,0.555555555555556,0.555555555555556,0.454545454545455,0.5,0.523809523809524,0.3,0.444444444444444,0.444444444444444,0.545454545454545,0.5,"1"
"252","Mon, Dec 13","BOS","MIL",0.481481481481481,0.4,0.6,0.6,0.4375,0.3,0.642857142857143,0.8,0.666666666666667,0.7,0.6,0.6,"1"
"253","Fri, Dec 17","BOS","GS",0.5,0.4,0.636363636363636,0.7,0.4375,0.3,0.821428571428571,0.7,0.866666666666667,0.9,0.75,0.7,"0"
"254","Sat, Dec 18","BOS","NY",0.482758620689655,0.4,0.583333333333333,0.7,0.4375,0.3,0.448275862068966,0.3,0.357142857142857,0.3,0.571428571428571,0.5,"1"
"255","Mon, Dec 20","BOS","PHI",0.5,0.5,0.615384615384615,0.8,0.4375,0.3,0.5,0.5,0.5,0.5,0.529411764705882,0.5,"0"
"256","Wed, Dec 22","BOS","CLE",0.483870967741935,0.4,0.571428571428571,0.7,0.4375,0.3,0.612903225806452,0.8,0.533333333333333,0.5,0.666666666666667,0.8,"1"
"257","Wed, Dec 29","BOS","LAC",0.470588235294118,0.3,0.6,0.7,0.388888888888889,0.3,0.5,0.5,0.571428571428571,0.4,0.416666666666667,0.5,"0"
"258","Fri, Dec 31","BOS","PHX",0.457142857142857,0.3,0.5625,0.6,0.388888888888889,0.3,0.794117647058823,0.7,0.789473684210526,0.8,0.785714285714286,0.8,"1"
"259","Sun, Jan 2","BOS","ORL",0.472222222222222,0.4,0.588235294117647,0.6,0.388888888888889,0.3,0.194444444444444,0.2,0.142857142857143,0.2,0.238095238095238,0.2,"1"
"260","Wed, Jan 5","BOS","SA",0.486486486486487,0.5,0.611111111111111,0.6,0.388888888888889,0.3,0.388888888888889,0.4,0.4375,0.5,0.368421052631579,0.5,"0"
"261","Sat, Jan 8","BOS","NY",0.461538461538462,0.4,0.578947368421053,0.6,0.368421052631579,0.2,0.487179487179487,0.6,0.421052631578947,0.4,0.526315789473684,0.4,"1"
"262","Mon, Jan 10","BOS","IND",0.475,0.4,0.6,0.6,0.368421052631579,0.2,0.375,0.3,0.523809523809524,0.5,0.166666666666667,0.1,"1"
"263","Sat, Jan 15","BOS","CHI",0.488372093023256,0.5,0.619047619047619,0.6,0.380952380952381,0.3,0.675,0.7,0.75,0.9,0.631578947368421,0.6,"1"
